Serial_ID,Brand_Info,Ingredients_List
040,LAIctnE,"INGREDIENTS WATER(AQUA), TITANIUM DIOXIDE, ETHYL- HEXYL PALMITATE, GLYCERIN, TALC, DIMETHICONOL, PEG-30 DIPOLYHYDROXYSTEARATE, MICROCRYSTALLINE WAX (CERA MICROCRISTALLINA), SORBITAN SESQUIOLEATE, MAGNESIUM STEARATE MAGNESIUM SULFATE SODIUM CHLORIDE, BENT- ONITE, CETYL PEGIPPG-101 DIMETHICONE , LANOLIN, PHENOXYETHANOL, SODIUM BENZOATE, DIAZOLIDINYL UREA, IODOPROPYNYL BUT- YLCARBAMATE, ETHYLHEX- YLGLYCERIN IRON OXIDES (Cl 77491, Cl 77492, Cl 77499)."
041,ফেয়ার গ্লো,"উপাদানসমূহ স্টিয়ারিক , সিটাইল এলকোহল, গ্রিসারিন, স্যান্ডাল উড অয়েল, আইসো প্রোপাইল মাইরিষ্টেট , ভিটামিন ই-এসিটেট , ডি্তিলড ওযাটার , পারফিউম 4"
042,WIIVEA S0f-,SUIN Agud Glycern luruminum Ulquldum Hrlst Ucohol lumen Ghcol Ajcoholuemtaun Murisilmlstute Iulmidk Add ChyumBtrorte StorkcAdd Cr Mloltullind Iydrogenoud Cochcrldd Blmmondik dlnenhigedolt Tocoonem Arcute Lonolln Ajcotol tuunto Mmid Mdd Audildk Add oldc Ald Tomghcema Coproe plmctlcone Corooma Podlum ldmrlde nenomoonot Undlcot dronellot ptclomxum lonone ormi Aconot Umonei uuum Vllmlau mun 01714 7
043,MATTLIMASIC pROissiontlcosmcitcs,"INGREDIENTS CYCLOMETHICONE,CI 77499 (IRON OXIDE BLACK) TRIMETHYLSILOXYSILICATE MICA POLYETHYLENE CERESIN SILICA,C12-15 ALKYLETHYLHEXANOATE POLYGLYCERYL-2TRIISOSTEARATE HYDROGENATEDCASTOR 0"
044,6 )0 000,৯৮5 I ম্ুগনেসিয়াম কা্বট এিংক অকাইড ব id Rvs ( খেরথ পরফিউম 7
045,BIRCH JUICEMOISTURIZING SUNSCREEN,"Ingredients Water, Dibutyl Adipate, Pro panediol, Diethylamino Hydroxybenzoyl Hexyl Benzoate Polymethylsilsesquioxane Ethylhexyl Triazone Niacinamide Methylere Bis-Benzotriazolyl Tetramethylbutypherol, Coco Caprylatelcaprate Diethylhexyl Butamido Triazone Glycerin 1,2-Hexanediol Butylene Glycol Betula Platyphylla Japonica juice SodiumHyaluronate HyaluronicAcidGleyGlucose Glycyrrhizate Allantoin Portulaca Oleracea Extract Artemisla Annua Extract Pinus Sylvestris Leatoil Anthemis Nobils Flower oil Acrylatesc1o-30 Alkyl Acrylate Cross polymer Sodium Stearoyl Glutamate Poly acrylateCrosspolmer-6, Ethylhexylgycerin Ascorbic Acid Adenosine PenryleneGlycol BehenyAlcdhol PolyC1o-30AlkyAcylate Polyglyceryl-3 Methylglucose Distearate Decyl Glucoside, Tromethamine Xanthan Gum t-BuryAlcutol Tocopherol Cartoner"
046,Beauty of Joseon,"Directions Apply evenly over face and neckat the last step in your morning and daytime sklncare Ingredients Water Oryza Sativa (Rice) Extract 30 %) Dibutyl Adipate, Propanediol Viethelamino routine inamide Methylene Bis-benzotnazolyl Tetramethylbutylphenol, Coco-caprylateCaprate) Hydroxybenzoyl Hexyl Benzoate polymethylsilsesquioxane Ethylhexyl Triazone, Niac ice) Germ Extract(1,OOO ppm) Camellla Sinensis Leaf Extract, Caprylyl Methicone Dlethylhexyl Butamido Triazone glycerin, Butylene Glycol Oryza Sativa (R ystis Pyrifera (Kelp) Erauitobacillus PPuraxEin Ferment Extract Bacillus Soybean Ferment Extract Saccharum Officinarum (Sugarcane)Extract ryl Acrylate Polyglyceryl-3 Methylglucose Distearate, Panax Ginseng Root Extract MonascusRice Ferment o.12 ppm) Pentylene Glycol, Behenyy Alcohel Poly c ঁ gmate, Polyacrylate Crosspolymer-6, Decyl Glucoside Tromethamine, Carbomer AcrylatesC1o-30 Alkyl Acrylate Crosspolymer 1,2-hexanediol Sodiurn Stea Filtrate(o.12 ppm) 9 Ethylhexylglycerin Adenosine Xanthan Gum Tocopherol, LactobacillusRice Ferment o.12 ppm), Aspergillus Ferment, saccharomuycesea Z"
047,Revive Eye Serum Ginseng Retinal,"47 )99 IngredientsWater PanaxGnsengRontExuat Glycerin DipropyleneGlycol Capryic Capnic Triglyceride 1,2 Hexanediol Pentaerythrityl Tetraethyhexanoate Niacinamide Butylene GlycolDicaprMatelDicaprate CetearvAlcohul SorbitanOlivate Cetearyl Olivate Butylene GlycolHydrogenatedLeuithin Trmnethamine Carbomer Glyceryl Stearate Macadamia TernifoliaSeedoil Adenosine Theobroma Cacao CocoalExtract Dextrin Cholesterol Polyglyceryl-1oOleate Retinal Brassica Campestris Rapeseed Sterols Phytosteryl Behenyl OctyldodecylLauroylGlutamate Silica SodiumHyaluronate Tocopherol, Aluminum MagnesiumHydroxide Stearate PotassiumCetyPhosphate Pentaerythrity CeramiceNPPamtoyIreptre 5 Disodium EDTA Ethvlhexvalvceri"
048,1 ( ৫,"Ingredients Water Kaolin Honey, Glycerin Propanediol Dipropylene Glycol Oryza Sativa (Rice) Hull Powder Isononyl Isononanoate 1,2-Hexanediol Cetyl Alcohol CaprylicCapric Triglyceride Polygly ceryl-3 Methylglucose Distearate Glyceryl Stearate Butylene Glycol, Oryza Sativa (Rice) Bran Oryza Sativa (Rice) Lees Extract Oryza Sativa (Rice) Extract, Honey Extract Bentonite Palmitic Acid Stearic Acid Behenyl Alcohol Cellulose Zea Mays (Corn) Starch Xanthan Gum Hydroxyacetophenone Potassium Cetyl Phosphate Ethylhexylglycerin Polyacrylate-13 Hydrogenated Polvisobutene Sodium Phytate Polyglyceryl-10 Laurate Ethylhexyl Palmitate Sorbitan Isostearate Menthyl Lactate"
049,Calmning Serum Green Tea Panthenol,"3 Ingredlents Camellia Sinensis Leaf Water Artemisia Capillaris Extract, Panthenol Glycerin Butylene Glycol Water 1 2-Hexanediol Methyl propanediol AcrylatesC1o-30 Alkyl Acrylate Crosspolymer Trometharnine Coptis Japonica Root Extract Ethylhexylglycerin Beraine Allantoin Dipotassium Glycyrrhizate Glyceryl AcrylateAcrylic Acid Copolymer Polyquaternium-51 Malr Extract Punica Granatum Extract,Clitoria Ternatea Flower Extract Garcinia Mangostana Peel Extract"
